customer_id,first_bet_datetime,twentieth_bet_datetime,bets_used,total_betting_amount,mean_betting_amount,mean_price,pct_racing,pct_cash,pct_return,total_payout,total_return_for_entain,feature_generated_at,feature_window_policy,invalid_first20_count,feature_quality_flag
0008040a-ebd9-44e7-801b-40f99e4f5024,2024-08-04T00:20:39Z,2024-08-21T12:12:31Z,20,129.8,6.49,9.4415,0.8,0.95,0.1,222.6,-99.3,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
0019f762-57b8-44dc-be01-96f307596969,2024-08-01T22:41:08Z,2024-08-21T14:32:33Z,20,77.2,3.86,9.4235,0.05,1.0,0.2,129.95,-52.75,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
001f91ae-ad99-4989-9d1c-62d19651264f,2024-08-07T23:31:45Z,2024-08-28T09:37:14Z,20,146.7,7.335,4.209,0.1,0.95,0.35,173.14,-29.74,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
00202105-8fbf-4393-bfef-313e096caf81,2024-08-02T21:12:48Z,2024-08-23T13:03:46Z,20,74.9,3.745,14.2025,0.8,0.95,0.05,26.8,47.3,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
003270da-a532-45ca-8975-18f2e4a6917f,2024-08-14T04:37:40Z,2024-09-03T17:48:07Z,20,258.6,12.93,16.173,0.95,1.0,0.1,822.56,-563.96,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
0032af4f-e1cc-492e-8a24-fa9860e690d5,2024-08-04T04:44:51Z,2024-08-19T11:08:12Z,20,174.5,8.725,8.3165,0.95,0.9,0.15,125.74,33.66,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
00381f3b-a466-4ded-925f-0b77bc2fdb75,2024-08-12T02:10:53Z,2024-08-29T07:07:56Z,20,184.2,9.21,2.4525,0.9,0.9,0.45,111.55,59.05,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
0047d888-f4f5-4659-b794-a34cc1bf734f,2024-08-11T01:00:02Z,2024-08-28T17:43:16Z,20,113.1,5.655,13.2495,0.9,0.95,0.1,180.81,-73.91,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
005c68b6-5bb6-4366-b732-7f62889f6b2c,2024-08-18T18:41:14Z,2024-09-05T04:28:15Z,20,73.9,3.695,2.6815,0.95,1.0,0.2,52.86,21.04,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
006069ea-c069-43c2-9261-5cd96e13c4a6,2024-08-03T08:32:34Z,2024-08-18T01:07:33Z,19,147.6,7.7684,15.4979,0.157895,0.842105,0.052632,74.8,50.3,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,1,PARTIAL_OR_REVIEW_FIRST20_WINDOW
0066a6c5-77bf-4122-8060-3894b77b6549,2024-08-29T05:23:45Z,2024-09-18T08:29:35Z,19,131.9,6.9421,4.2674,0.789474,1.0,0.368421,180.44,-48.54,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,1,PARTIAL_OR_REVIEW_FIRST20_WINDOW
00690ae3-cedb-4413-bacf-b9bf8b50227c,2024-08-11T23:52:30Z,2024-09-03T23:15:27Z,20,146.4,7.32,11.3635,0.8,0.95,0.0,0.0,142.1,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
006f74d4-2496-498d-a199-6b7226773d0c,2024-08-24T14:27:43Z,2024-09-12T20:32:06Z,20,356.1,17.805,5.528,0.9,1.0,0.15,271.72,84.38,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
009f9e9f-3321-469f-b95e-6cd3dbd34ef5,2024-08-12T20:53:40Z,2024-09-03T09:20:11Z,20,154.1,7.705,3.9105,0.8,1.0,0.25,147.47,6.63,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
00a0e146-2331-4f50-bd47-e5c4c780c82f,2024-08-17T20:26:49Z,2024-09-05T03:00:16Z,19,250.8,13.2,8.8784,1.0,0.947368,0.263158,637.93,-393.73,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,1,PARTIAL_OR_REVIEW_FIRST20_WINDOW
00b4a7e0-823e-4aa3-ae60-e2680cfc58a7,2024-08-11T10:44:48Z,2024-08-31T07:46:27Z,20,101.5,5.075,9.6745,0.9,0.95,0.1,127.21,-31.01,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
00bc63ce-9c9a-4a2f-ae00-2fcd9e5bcc52,2024-08-03T07:27:02Z,2024-08-22T19:47:14Z,19,314.2,16.5368,10.5416,0.684211,1.0,0.210526,596.29,-282.09,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,1,PARTIAL_OR_REVIEW_FIRST20_WINDOW
00c0b7e9-9285-477f-bd93-5cbcca40caf1,2024-08-29T01:06:17Z,2024-09-18T13:40:18Z,20,184.4,9.22,18.279,0.75,0.95,0.05,247.73,-69.83,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
00c5734a-8f8f-48be-a3fb-3978759fc9f9,2024-08-03T23:15:08Z,2024-08-26T05:32:30Z,20,189.6,9.48,7.6975,0.85,0.9,0.2,275.7,-116.6,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
00c98491-690d-4240-aedb-accce96ec393,2024-08-27T02:48:13Z,2024-09-13T12:06:23Z,20,355.5,17.775,11.9405,0.15,1.0,0.0,0.0,355.5,2026-06-19T01:49:39+00:00,valid rows where 1 <= bet_num <= 20; no replacement from later bets,0,FULL_20_VALID_BETS
